Status_of_existing_checking_account,Duration,Credit_history,Purpose,Credit_amount,Savings_account_bonds,Present_employment_since,Installment_rate,Personal_status_sex,Other_debtors_guarantors,Present_residence_since,Property,Age,Other_installment_plans,Housing,Number_of_existing_credits,Job,Number_of_people_liable,Telephone,Foreign_worker,Credit_risk
0 <= ... < 200 DM,12,Critical account,Car (used),1804,100 <= ... < 500 DM,< 1 year,3,Male single,None,4,Savings/Life insurance,44,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,10,Critical account,Furniture/equipment,2069,Unknown/No savings,1 <= ... < 4 years,2,Male married/widowed,None,1,Car/other,26,None,Own,2,Skilled employee,1,None,No,Good
< 0 DM,6,Existing credits paid back,Furniture/equipment,1374,< 100 DM,1 <= ... < 4 years,1,Male single,None,2,Real estate,36,Bank,Own,1,Unskilled-resident,1,"Yes, registered",Yes,Good
No checking account,6,No credits/all paid,Radio/TV,426,< 100 DM,>= 7 years,4,Male married/widowed,None,4,Car/other,39,None,Own,1,Unskilled-resident,1,None,Yes,Good
>= 200 DM/salary assigned,12,All credits paid back,Radio/TV,409,>= 1000 DM,1 <= ... < 4 years,3,Female div/sep/married,None,3,Real estate,42,None,Rent,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,7,Existing credits paid back,Radio/TV,2415,< 100 DM,1 <= ... < 4 years,3,Male single,Guarantor,2,Real estate,34,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,60,Delayed payments,Business,6836,< 100 DM,>= 7 years,3,Male single,None,4,Unknown/No property,63,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,18,Existing credits paid back,Business,1913,>= 1000 DM,< 1 year,3,Male married/widowed,None,3,Real estate,36,Bank,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,24,Existing credits paid back,Furniture/equipment,4020,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Car/other,27,Stores,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,18,Existing credits paid back,Car (new),5866,100 <= ... < 500 DM,1 <= ... < 4 years,2,Male single,None,2,Car/other,30,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,12,Critical account,Business,1264,Unknown/No savings,>= 7 years,4,Male single,None,4,Unknown/No property,57,None,Rent,1,Unskilled-resident,1,None,Yes,Good
>= 200 DM/salary assigned,12,Existing credits paid back,Furniture/equipment,1474,< 100 DM,< 1 year,4,Female div/sep/married,None,1,Savings/Life insurance,33,Bank,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,45,Critical account,Radio/TV,4746,< 100 DM,< 1 year,4,Male single,None,2,Savings/Life insurance,25,None,Own,2,Unskilled-resident,1,None,Yes,Bad
No checking account,48,Critical account,Education,6110,< 100 DM,1 <= ... < 4 years,1,Male single,None,3,Unknown/No property,31,Bank,For free,1,Skilled employee,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,18,Existing credits paid back,Radio/TV,2100,< 100 DM,1 <= ... < 4 years,4,Male single,Co-applicant,2,Real estate,37,Stores,Own,1,Skilled employee,1,None,Yes,Bad
>= 200 DM/salary assigned,10,Existing credits paid back,Domestic appliances,1225,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Car/other,37,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,9,Existing credits paid back,Radio/TV,458,< 100 DM,1 <= ... < 4 years,4,Male single,None,3,Real estate,24,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,30,Existing credits paid back,Radio/TV,2333,500 <= ... < 1000 DM,>= 7 years,4,Male single,None,2,Car/other,30,Bank,Own,1,Management/self-employed,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Radio/TV,1158,500 <= ... < 1000 DM,1 <= ... < 4 years,3,Male divorced/separated,None,1,Car/other,26,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,18,Delayed payments,Repairs,6204,< 100 DM,1 <= ... < 4 years,2,Male single,None,4,Real estate,44,None,Own,1,Unskilled-resident,2,"Yes, registered",Yes,Good
< 0 DM,30,Critical account,Car (used),6187,100 <= ... < 500 DM,4 <= ... < 7 years,1,Male married/widowed,None,4,Car/other,24,None,Rent,2,Skilled employee,1,None,Yes,Good
< 0 DM,48,Critical account,Car (used),6143,< 100 DM,>= 7 years,4,Female div/sep/married,None,4,Unknown/No property,58,Stores,For free,2,Unskilled-resident,1,None,Yes,Bad
No checking account,11,Critical account,Car (new),1393,< 100 DM,< 1 year,4,Female div/sep/married,None,4,Car/other,35,None,Own,2,Management/self-employed,1,None,Yes,Good
No checking account,36,Existing credits paid back,Radio/TV,2299,500 <= ... < 1000 DM,>= 7 years,4,Male single,None,4,Car/other,39,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,6,Existing credits paid back,Car (used),1352,500 <= ... < 1000 DM,Unemployed,1,Female div/sep/married,None,2,Savings/Life insurance,23,None,Rent,1,Unemployed/non-resident,1,"Yes, registered",Yes,Good
No checking account,11,Critical account,Car (new),7228,< 100 DM,1 <= ... < 4 years,1,Male single,None,4,Savings/Life insurance,39,None,Own,2,Unskilled-resident,1,None,Yes,Good
No checking account,12,Existing credits paid back,Radio/TV,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,Female div/sep/married,Co-applicant,2,Real estate,28,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,24,Delayed payments,Furniture/equipment,2333,Unknown/No savings,< 1 year,4,Male single,None,2,Savings/Life insurance,29,Bank,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,27,Delayed payments,Car (used),5965,< 100 DM,>= 7 years,1,Male single,None,2,Car/other,30,None,Own,2,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,12,Existing credits paid back,Radio/TV,1262,< 100 DM,1 <= ... < 4 years,3,Male single,None,2,Car/other,25,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,18,Existing credits paid back,Car (used),3378,Unknown/No savings,1 <= ... < 4 years,2,Male single,None,1,Savings/Life insurance,31,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,36,Delayed payments,Car (new),2225,< 100 DM,>= 7 years,4,Male single,None,4,Unknown/No property,57,Bank,For free,2,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,6,All credits paid back,Car (new),783,Unknown/No savings,1 <= ... < 4 years,1,Male single,Guarantor,2,Real estate,26,Stores,Own,1,Unskilled-resident,2,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Radio/TV,6468,Unknown/No savings,Unemployed,2,Male single,None,1,Unknown/No property,52,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,36,Critical account,Radio/TV,9566,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,2,Car/other,31,Stores,Own,2,Skilled employee,1,None,Yes,Good
>= 200 DM/salary assigned,18,Existing credits paid back,Car (new),1961,< 100 DM,>= 7 years,3,Female div/sep/married,None,2,Car/other,23,None,Own,1,Management/self-employed,1,None,Yes,Good
< 0 DM,36,Critical account,Furniture/equipment,6229,< 100 DM,< 1 year,4,Female div/sep/married,Co-applicant,4,Unknown/No property,23,None,Rent,2,Unskilled-resident,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,9,Existing credits paid back,Business,1391,< 100 DM,1 <= ... < 4 years,2,Male married/widowed,None,1,Real estate,27,Bank,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,15,Critical account,Radio/TV,1537,Unknown/No savings,>= 7 years,4,Male single,Guarantor,4,Real estate,50,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,36,No credits/all paid,Business,1953,< 100 DM,>= 7 years,4,Male single,None,4,Unknown/No property,61,None,For free,1,Management/self-employed,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,48,No credits/all paid,Business,14421,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Car/other,25,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,24,Existing credits paid back,Radio/TV,3181,< 100 DM,< 1 year,4,Female div/sep/married,None,4,Savings/Life insurance,26,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,27,Existing credits paid back,Repairs,5190,Unknown/No savings,>= 7 years,4,Male single,None,4,Savings/Life insurance,48,None,Own,4,Skilled employee,2,"Yes, registered",Yes,Good
No checking account,12,Existing credits paid back,Radio/TV,2171,< 100 DM,< 1 year,2,Female div/sep/married,None,2,Car/other,29,Bank,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Car (new),1007,>= 1000 DM,1 <= ... < 4 years,4,Male married/widowed,None,1,Real estate,22,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,36,Existing credits paid back,Education,1819,< 100 DM,1 <= ... < 4 years,4,Male single,None,4,Unknown/No property,37,Stores,For free,1,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,36,Existing credits paid back,Radio/TV,2394,Unknown/No savings,1 <= ... < 4 years,4,Female div/sep/married,None,4,Car/other,25,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,36,Existing credits paid back,Car (used),8133,< 100 DM,1 <= ... < 4 years,1,Female div/sep/married,None,2,Savings/Life insurance,30,Bank,Own,1,Skilled employee,1,None,Yes,Good
No checking account,7,Critical account,Radio/TV,730,Unknown/No savings,>= 7 years,4,Male single,None,2,Savings/Life insurance,46,None,Rent,2,Unskilled-resident,1,"Yes, registered",Yes,Good
< 0 DM,8,Critical account,Other,1164,< 100 DM,>= 7 years,3,Male single,None,4,Unknown/No property,51,Bank,For free,2,Management/self-employed,2,"Yes, registered",Yes,Good
0 <= ... < 200 DM,42,Critical account,Business,5954,< 100 DM,4 <= ... < 7 years,2,Female div/sep/married,None,1,Real estate,41,Bank,Own,2,Unskilled-resident,1,None,Yes,Good
< 0 DM,36,Existing credits paid back,Education,1977,Unknown/No savings,>= 7 years,4,Male single,None,4,Unknown/No property,40,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Bad
< 0 DM,12,Critical account,Car (used),1526,< 100 DM,>= 7 years,4,Male single,None,4,Unknown/No property,66,None,For free,2,Management/self-employed,1,None,Yes,Good
< 0 DM,42,Existing credits paid back,Radio/TV,3965,< 100 DM,< 1 year,4,Male single,None,3,Car/other,34,None,Own,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,11,Delayed payments,Radio/TV,4771,< 100 DM,4 <= ... < 7 years,2,Male single,None,4,Savings/Life insurance,51,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,54,No credits/all paid,Car (used),9436,Unknown/No savings,1 <= ... < 4 years,2,Male single,None,2,Savings/Life insurance,39,None,Own,1,Unskilled-resident,2,None,Yes,Good
0 <= ... < 200 DM,30,Existing credits paid back,Furniture/equipment,3832,< 100 DM,< 1 year,2,Male married/widowed,None,1,Savings/Life insurance,22,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,24,Existing credits paid back,Radio/TV,5943,Unknown/No savings,< 1 year,1,Female div/sep/married,None,1,Car/other,44,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,15,Existing credits paid back,Radio/TV,1213,500 <= ... < 1000 DM,>= 7 years,4,Male single,None,3,Savings/Life insurance,47,Stores,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,18,Existing credits paid back,Business,1568,100 <= ... < 500 DM,1 <= ... < 4 years,3,Female div/sep/married,None,4,Savings/Life insurance,24,None,Rent,1,Unskilled-resident,1,None,Yes,Good
< 0 DM,24,Existing credits paid back,Other,1755,< 100 DM,>= 7 years,4,Female div/sep/married,Guarantor,4,Real estate,58,None,Own,1,Unskilled-resident,1,"Yes, registered",Yes,Good
< 0 DM,10,Existing credits paid back,Radio/TV,2315,< 100 DM,>= 7 years,3,Male single,None,4,Real estate,52,None,Own,1,Unskilled-resident,1,None,Yes,Good
No checking account,12,Critical account,Business,1412,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,Guarantor,2,Real estate,29,None,Own,2,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,18,Critical account,Furniture/equipment,1295,< 100 DM,< 1 year,4,Female div/sep/married,None,1,Savings/Life insurance,27,None,Own,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,36,Existing credits paid back,Education,12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,Male single,None,4,Unknown/No property,47,None,For free,1,Skilled employee,2,"Yes, registered",Yes,Bad
< 0 DM,18,Existing credits paid back,Car (new),2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,Male single,None,3,Car/other,30,None,Own,1,Management/self-employed,2,"Yes, registered",Yes,Good
< 0 DM,12,No credits/all paid,Repairs,1108,< 100 DM,4 <= ... < 7 years,4,Male single,None,3,Real estate,28,None,Own,2,Skilled employee,1,None,Yes,Bad
No checking account,12,Critical account,Radio/TV,618,< 100 DM,>= 7 years,4,Male single,None,4,Real estate,56,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,12,Critical account,Car (used),1409,< 100 DM,>= 7 years,4,Male single,None,3,Real estate,54,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,12,Critical account,Radio/TV,797,Unknown/No savings,>= 7 years,4,Female div/sep/married,None,3,Savings/Life insurance,33,Bank,Own,1,Unskilled-resident,2,None,Yes,Bad
>= 200 DM/salary assigned,24,Critical account,Furniture/equipment,3617,Unknown/No savings,>= 7 years,4,Male single,Co-applicant,4,Unknown/No property,20,None,Rent,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Car (new),1318,>= 1000 DM,>= 7 years,4,Male single,None,4,Real estate,54,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,54,No credits/all paid,Business,15945,< 100 DM,< 1 year,3,Male single,None,4,Unknown/No property,58,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,12,Critical account,Education,2012,Unknown/No savings,4 <= ... < 7 years,4,Female div/sep/married,None,2,Car/other,61,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,18,Existing credits paid back,Business,2622,100 <= ... < 500 DM,1 <= ... < 4 years,4,Male single,None,4,Car/other,34,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,36,Critical account,Radio/TV,2337,< 100 DM,>= 7 years,4,Male single,None,4,Real estate,36,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,20,Delayed payments,Car (used),7057,Unknown/No savings,4 <= ... < 7 years,3,Male single,None,4,Savings/Life insurance,36,Bank,Rent,2,Management/self-employed,2,"Yes, registered",Yes,Good
No checking account,24,Existing credits paid back,Car (new),1469,100 <= ... < 500 DM,>= 7 years,4,Male married/widowed,None,4,Real estate,41,None,Rent,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,36,Existing credits paid back,Radio/TV,2323,< 100 DM,4 <= ... < 7 years,4,Male single,None,4,Car/other,24,None,Rent,1,Skilled employee,1,None,Yes,Good
No checking account,6,Delayed payments,Radio/TV,932,< 100 DM,1 <= ... < 4 years,3,Female div/sep/married,None,2,Real estate,24,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,9,Critical account,Furniture/equipment,1919,< 100 DM,4 <= ... < 7 years,4,Male single,None,3,Car/other,35,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,12,Existing credits paid back,Car (used),2445,Unknown/No savings,< 1 year,2,Male married/widowed,None,4,Car/other,26,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,24,Critical account,Other,11938,< 100 DM,1 <= ... < 4 years,2,Male single,Co-applicant,3,Car/other,39,None,Own,2,Management/self-employed,2,"Yes, registered",Yes,Bad
No checking account,18,All credits paid back,Car (new),6458,< 100 DM,>= 7 years,2,Male single,None,4,Unknown/No property,39,Bank,Own,2,Management/self-employed,2,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,12,Existing credits paid back,Car (new),6078,< 100 DM,4 <= ... < 7 years,2,Male single,None,2,Car/other,32,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,24,Existing credits paid back,Furniture/equipment,7721,Unknown/No savings,< 1 year,1,Female div/sep/married,None,2,Savings/Life insurance,30,None,Own,1,Skilled employee,1,"Yes, registered",No,Good
0 <= ... < 200 DM,14,Existing credits paid back,Business,1410,500 <= ... < 1000 DM,>= 7 years,1,Male married/widowed,None,2,Real estate,35,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,6,Delayed payments,Business,1449,100 <= ... < 500 DM,>= 7 years,1,Male divorced/separated,None,2,Car/other,31,Bank,Own,2,Skilled employee,2,None,Yes,Good
>= 200 DM/salary assigned,15,Existing credits paid back,Education,392,< 100 DM,< 1 year,4,Female div/sep/married,None,4,Savings/Life insurance,23,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,18,Existing credits paid back,Car (new),6260,< 100 DM,4 <= ... < 7 years,3,Male single,None,3,Real estate,28,None,Rent,1,Unskilled-resident,1,None,Yes,Good
No checking account,36,Critical account,Car (new),7855,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,2,Real estate,25,Stores,Own,2,Skilled employee,1,"Yes, registered",Yes,Bad
< 0 DM,12,Existing credits paid back,Radio/TV,1680,500 <= ... < 1000 DM,>= 7 years,3,Male married/widowed,None,1,Real estate,35,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,48,Critical account,Radio/TV,3578,Unknown/No savings,>= 7 years,4,Male single,None,1,Real estate,47,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,42,Existing credits paid back,Radio/TV,7174,Unknown/No savings,4 <= ... < 7 years,4,Female div/sep/married,None,3,Car/other,30,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Bad
< 0 DM,10,Critical account,Furniture/equipment,2132,Unknown/No savings,< 1 year,2,Female div/sep/married,Co-applicant,3,Real estate,27,None,Rent,2,Skilled employee,1,None,No,Good
< 0 DM,33,Critical account,Furniture/equipment,4281,500 <= ... < 1000 DM,1 <= ... < 4 years,1,Female div/sep/married,None,4,Car/other,23,None,Own,2,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,12,Critical account,Car (new),2366,500 <= ... < 1000 DM,4 <= ... < 7 years,3,Male divorced/separated,None,3,Car/other,36,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,21,Existing credits paid back,Radio/TV,1835,< 100 DM,1 <= ... < 4 years,3,Female div/sep/married,None,2,Real estate,25,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,24,Critical account,Car (used),3868,< 100 DM,>= 7 years,4,Female div/sep/married,None,2,Car/other,41,None,Rent,2,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,12,Existing credits paid back,Furniture/equipment,1768,< 100 DM,1 <= ... < 4 years,3,Male single,None,2,Real estate,24,None,Rent,1,Unskilled-resident,1,None,Yes,Good
>= 200 DM/salary assigned,10,Critical account,Car (new),781,< 100 DM,>= 7 years,4,Male single,None,4,Unknown/No property,63,None,For free,2,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,18,Existing credits paid back,Furniture/equipment,1924,Unknown/No savings,< 1 year,4,Female div/sep/married,None,3,Real estate,27,None,Rent,1,Skilled employee,1,None,Yes,Bad
< 0 DM,12,Critical account,Car (new),2121,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Savings/Life insurance,30,None,Own,2,Skilled employee,1,None,Yes,Good
< 0 DM,12,Existing credits paid back,Radio/TV,701,< 100 DM,1 <= ... < 4 years,4,Male married/widowed,None,2,Real estate,40,None,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Repairs,639,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Car/other,30,None,Own,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,12,Critical account,Car (used),1860,< 100 DM,Unemployed,4,Male single,None,2,Car/other,34,None,Own,2,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,12,Critical account,Car (new),3499,< 100 DM,1 <= ... < 4 years,3,Female div/sep/married,Co-applicant,2,Real estate,29,None,Own,2,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,48,Existing credits paid back,Car (new),8487,Unknown/No savings,4 <= ... < 7 years,1,Female div/sep/married,None,2,Car/other,24,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,36,Delayed payments,Education,6887,< 100 DM,1 <= ... < 4 years,4,Male single,None,3,Savings/Life insurance,29,Stores,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,15,Existing credits paid back,Furniture/equipment,2708,< 100 DM,< 1 year,2,Male single,None,3,Savings/Life insurance,27,Bank,Own,2,Unskilled-resident,1,None,Yes,Good
No checking account,18,Existing credits paid back,Furniture/equipment,1984,< 100 DM,1 <= ... < 4 years,4,Male single,None,4,Unknown/No property,47,Bank,For free,2,Skilled employee,1,None,Yes,Good
No checking account,60,Existing credits paid back,Radio/TV,10144,100 <= ... < 500 DM,4 <= ... < 7 years,2,Female div/sep/married,None,4,Real estate,21,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,12,Critical account,Radio/TV,1240,Unknown/No savings,>= 7 years,4,Female div/sep/married,None,2,Real estate,38,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,27,Delayed payments,Car (used),8613,>= 1000 DM,1 <= ... < 4 years,2,Male single,None,2,Car/other,27,None,Own,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Radio/TV,766,500 <= ... < 1000 DM,1 <= ... < 4 years,4,Male single,None,3,Real estate,66,None,Own,1,Unskilled-resident,1,None,Yes,Bad
0 <= ... < 200 DM,15,Critical account,Radio/TV,2728,Unknown/No savings,4 <= ... < 7 years,4,Male single,Guarantor,2,Real estate,35,Bank,Own,3,Skilled employee,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,12,Existing credits paid back,Radio/TV,1881,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,2,Car/other,44,None,Rent,1,Unskilled-resident,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,6,Existing credits paid back,Car (new),709,>= 1000 DM,< 1 year,2,Male married/widowed,None,2,Real estate,27,None,Own,1,Unemployed/non-resident,1,None,No,Good
0 <= ... < 200 DM,36,Existing credits paid back,Radio/TV,4795,< 100 DM,< 1 year,4,Female div/sep/married,None,1,Unknown/No property,30,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,27,Existing credits paid back,Radio/TV,3416,< 100 DM,1 <= ... < 4 years,3,Male single,None,2,Car/other,27,None,Own,1,Management/self-employed,1,None,Yes,Good
< 0 DM,18,Existing credits paid back,Furniture/equipment,2462,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Car/other,22,None,Own,1,Skilled employee,1,None,Yes,Bad
